ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,impressions,clicks,spent,Total_Conversion,Approved_Conversion,CTR,CPC,CPM,Conversion_rate,Approved_Conversion_Rate,CPA,Cost_Per_Approved,Conversions_per_1000
708746,916,103916,30-34,M,15,7350,1,1.429999948,2,1,0.013605442176870748,1.429999948,0.19455781605442177,200.0,50.0,0.714999974,1.429999948,0.27210884353741494
708749,916,103917,30-34,M,16,17861,2,1.820000023,2,0,0.011197581322434353,0.9100000115,0.10189799132187448,100.0,0.0,0.9100000115,0.0,0.11197581322434354
708771,916,103920,30-34,M,20,693,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.443001443001443
708815,916,103928,30-34,M,28,4259,1,1.25,1,0,0.023479690068091103,1.25,0.29349612585113877,100.0,0.0,1.25,0.0,0.23479690068091102
708818,916,103928,30-34,M,28,4133,1,1.289999962,1,1,0.024195499637067505,1.289999962,0.31212193612388095,100.0,100.0,1.289999962,1.289999962,0.24195499637067505
708820,916,103929,30-34,M,29,1915,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.5221932114882506
708889,916,103940,30-34,M,15,15615,3,4.769999981,1,0,0.01921229586935639,1.5899999936666667,0.30547550310598787,33.33333333333333,0.0,4.769999981,0.0,0.06404098623118797
708895,916,103941,30-34,M,16,10951,1,1.269999981,1,1,0.009131586156515388,1.269999981,0.11597114245274404,100.0,100.0,1.269999981,1.269999981,0.09131586156515387
708953,916,103951,30-34,M,27,2355,1,1.5,1,0,0.042462845010615716,1.5,0.6369426751592356,100.0,0.0,1.5,0.0,0.42462845010615713
708958,916,103952,30-34,M,28,9502,3,3.159999967,1,0,0.03157230056830141,1.0533333223333334,0.3325615625131551,33.33333333333333,0.0,3.159999967,0.0,0.10524100189433803
708979,916,103955,30-34,M,31,1224,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8169934640522876
709023,916,103962,30-34,M,7,735,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3605442176870748
709038,916,103965,30-34,M,16,5117,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19542700801250731
709040,916,103965,30-34,M,16,5120,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125
709059,916,103968,30-34,M,20,14669,7,10.28000021,1,1,0.0477196809598473,1.4685714585714287,0.7007976146976618,14.285714285714285,100.0,10.28000021,10.28000021,0.06817097279978186
709105,916,103976,30-34,M,28,1241,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.8058017727639001
709115,916,103978,30-34,M,30,2305,1,0.569999993,1,0,0.04338394793926247,0.569999993,0.24728850021691978,100.0,0.0,0.569999993,0.0,0.4338394793926247
709124,916,103979,30-34,M,31,1024,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.9765625
709179,916,103988,35-39,M,15,4627,1,1.690000057,1,0,0.02161227577263886,1.690000057,0.3652474728765939,100.0,0.0,1.690000057,0.0,0.2161227577263886
709183,916,103989,35-39,M,16,21026,4,4.630000114,2,1,0.019024065442785124,1.1575000285,0.22020356292209647,50.0,50.0,2.315000057,4.630000114,0.09512032721392562
709320,916,104012,35-39,M,15,1422,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.7032348804500703
709323,916,104012,35-39,M,15,7132,2,2.609999895,1,0,0.028042624789680313,1.3049999475,0.3659562387829501,50.0,0.0,2.609999895,0.0,0.14021312394840157
709326,916,104013,35-39,M,16,12190,2,3.049999952,1,0,0.016406890894175553,1.524999976,0.25020508219852333,50.0,0.0,3.049999952,0.0,0.08203445447087777
709327,916,104013,35-39,M,16,12193,2,3.059999943,1,1,0.01640285409661281,1.5299999715,0.25096366300336254,50.0,100.0,3.059999943,3.059999943,0.08201427048306405
709328,916,104013,35-39,M,16,3332,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.30012004801920766
709455,916,104034,35-39,M,7,559,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7889087656529516
709544,916,104049,35-39,M,29,7440,2,2.980000019,1,1,0.026881720430107527,1.4900000095,0.4005376369623656,50.0,100.0,2.980000019,2.980000019,0.13440860215053763
709614,916,104061,40-44,M,16,19113,4,5.5200001,1,0,0.020928164076806362,1.380000025,0.2888086694919688,25.0,0.0,5.5200001,0.0,0.05232041019201591
709756,916,104085,40-44,M,16,10976,2,1.690000057,1,1,0.018221574344023325,0.8450000285,0.15397230840014578,50.0,100.0,1.690000057,1.690000057,0.09110787172011661
709761,916,104085,40-44,M,16,2861,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34952813701502966
709899,916,104108,40-44,M,15,1398,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.7153075822603719
709901,916,104109,40-44,M,16,23817,7,8.470000148,1,1,0.02939077129781249,1.2100000211428572,0.3556283389175799,14.285714285714285,100.0,8.470000148,8.470000148,0.041986816139732125
710045,916,104133,45-49,M,16,47224,12,15.82000017,1,0,0.025410808063696423,1.3183333475,0.33499915657292906,8.333333333333332,0.0,15.82000017,0.0,0.021175673386413688
710088,916,104140,45-49,M,24,2283,1,1.470000029,1,0,0.043802014892685065,1.470000029,0.6438896316250547,100.0,0.0,1.470000029,0.0,0.43802014892685065
710360,916,104185,45-49,M,21,2182,1,1.529999971,1,1,0.045829514207149404,1.529999971,0.7011915540788267,100.0,100.0,1.529999971,1.529999971,0.4582951420714941
710477,916,104205,30-34,F,16,2654,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.37678975131876413
710480,916,104205,30-34,F,16,57665,14,18.06999969,1,1,0.024278158328275384,1.2907142635714286,0.31336165247550507,7.142857142857142,100.0,18.06999969,18.06999969,0.017341541663053846
710571,916,104220,30-34,F,32,3091,1,1.610000014,1,1,0.03235198964736331,1.610000014,0.5208670378518279,100.0,100.0,1.610000014,1.610000014,0.32351989647363316
710617,916,104228,30-34,F,15,5014,1,1.190000057,1,0,0.01994415636218588,1.190000057,0.2373354720781811,100.0,0.0,1.190000057,0.0,0.19944156362185878
710623,916,104229,30-34,F,16,38726,7,9.220000267,1,0,0.018075711408356142,1.3171428952857143,0.23808294858751225,14.285714285714285,0.0,9.220000267,0.0,0.025822444869080204
710628,916,104230,30-34,F,18,1473,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678886625933469
710682,916,104239,30-34,F,27,1186,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8431703204047217
710763,916,104252,30-34,F,15,5369,1,1.50999999,1,0,0.018625442354255912,1.50999999,0.2812441776867201,100.0,0.0,1.50999999,0.0,0.18625442354255914
710836,916,104265,30-34,F,29,22221,7,9.430000067,1,1,0.03150173259529274,1.3471428667142857,0.4243733435488952,14.285714285714285,100.0,9.430000067,9.430000067,0.04500247513613249
710867,916,104270,30-34,F,63,1185,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8438818565400844
710880,916,104272,30-34,F,65,13019,5,6.960000038,1,0,0.038405407481373374,1.3920000076,0.5346032750595284,20.0,0.0,6.960000038,0.0,0.07681081496274676
710961,916,104285,35-39,F,25,2508,1,1.220000029,1,0,0.03987240829346093,1.220000029,0.4864433927432217,100.0,0.0,1.220000029,0.0,0.39872408293460926
710968,916,104287,35-39,F,27,5864,2,2.799999952,1,1,0.034106412005457026,1.399999976,0.47748975989085946,50.0,100.0,2.799999952,2.799999952,0.17053206002728513
711217,916,104328,35-39,F,20,2783,1,1.600000024,1,0,0.035932446999640676,1.600000024,0.574919160618038,100.0,0.0,1.600000024,0.0,0.35932446999640677
711623,916,104396,40-44,F,15,3812,1,1.129999995,2,1,0.026232948583420776,1.129999995,0.2964323176810073,200.0,50.0,0.5649999975,1.129999995,0.5246589716684156
711764,916,104419,45-49,F,10,11199,4,5.730000019,1,1,0.035717474774533436,1.43250000475,0.5116528278417716,25.0,100.0,5.730000019,5.730000019,0.08929368693633359
711785,916,104423,45-49,F,19,292,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4246575342465753
711877,916,104438,45-49,F,63,17572,7,9.379999995,1,0,0.03983610289096289,1.3399999992857143,0.5338037784543592,14.285714285714285,0.0,9.379999995,0.0,0.05690871841566128
712052,916,104467,45-49,F,10,1448,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.6906077348066298
734209,936,108654,30-34,M,10,1772,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.564334085778781
734210,936,108654,30-34,M,10,13329,4,5.629999995,1,1,0.030009753169780176,1.40749999875,0.4223872754895341,25.0,100.0,5.629999995,5.629999995,0.07502438292445045
734215,936,108655,30-34,M,15,13659,3,3.840000033,1,0,0.021963540522732264,1.280000011,0.28113332110696243,33.33333333333333,0.0,3.840000033,0.0,0.07321180174244088
734243,936,108660,30-34,M,21,739,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.3531799729364007
734266,936,108664,30-34,M,25,605,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6528925619834711
734272,936,108665,30-34,M,26,1030,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.970873786407767
734290,936,108668,30-34,M,29,5374,1,1.039999962,4,0,0.018608113137327877,1.039999962,0.1935243695571269,400.0,0.0,0.2599999905,0.0,0.744324525493115
734313,936,108672,30-34,M,36,790,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.2658227848101267
734314,936,108672,30-34,M,36,962,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0395010395010396
734352,936,108678,35-39,M,10,4423,1,1.460000038,1,1,0.022609088853719195,1.460000038,0.33009270585575406,100.0,100.0,1.460000038,1.460000038,0.22609088853719195
734361,936,108680,35-39,M,16,12382,2,2.839999914,1,1,0.016152479405588758,1.419999957,0.2293652006137942,50.0,100.0,2.839999914,2.839999914,0.08076239702794379
734381,936,108683,35-39,M,20,2938,1,1.350000024,1,1,0.03403675970047651,1.350000024,0.4594962641252553,100.0,100.0,1.350000024,1.350000024,0.3403675970047651
734399,936,108686,35-39,M,23,239,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.184100418410042
734418,936,108689,35-39,M,26,591,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6920473773265652
734421,936,108690,35-39,M,27,10332,4,5.75,1,0,0.03871467286101432,1.4375,0.556523422377081,25.0,0.0,5.75,0.0,0.09678668215253582
734427,936,108691,35-39,M,28,8259,3,3.980000019,1,0,0.03632401017072285,1.326666673,0.48189853723211046,33.33333333333333,0.0,3.980000019,0.0,0.1210800339024095
734433,936,108692,35-39,M,29,12158,3,4.449999928,1,0,0.024675111037999672,1.4833333093333334,0.36601414114163516,33.33333333333333,0.0,4.449999928,0.0,0.08225037012666557
734582,936,108716,40-44,M,29,7709,2,1.320000052,2,0,0.02594370216629913,0.660000026,0.1712284410429368,100.0,0.0,0.660000026,0.0,0.25943702166299126
734605,936,108720,40-44,M,36,834,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199040767386091
734660,936,108729,45-49,M,18,1299,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.539645881447267
734666,936,108730,45-49,M,19,371,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6954177897574128
734726,936,108740,45-49,M,29,10466,3,4.090000033,1,0,0.02866424613032677,1.3633333443333333,0.3907892253965221,33.33333333333333,0.0,4.090000033,0.0,0.09554748710108923
734737,936,108742,45-49,M,31,839,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1918951132300357
734785,936,108750,30-34,F,10,5576,1,1.529999971,1,1,0.01793400286944046,1.529999971,0.2743902387015782,100.0,100.0,1.529999971,1.529999971,0.1793400286944046
734794,936,108752,30-34,F,16,4010,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24937655860349126
734796,936,108752,30-34,F,16,39337,7,10.03000009,1,1,0.017794951318097465,1.4328571557142857,0.2549762333172331,14.285714285714285,100.0,10.03000009,10.03000009,0.02542135902585352
734800,936,108753,30-34,F,18,1635,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6116207951070336
734803,936,108753,30-34,F,18,1631,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6131207847946045
734852,936,108761,30-34,F,26,13479,3,4.25,1,0,0.022256843979523704,1.4166666666666667,0.3153052897099191,33.33333333333333,0.0,4.25,0.0,0.07418947993174567
734854,936,108762,30-34,F,27,57022,13,20.29000032,3,3,0.02279821823155975,1.5607692553846155,0.3558275809336747,23.076923076923077,100.0,6.76333344,6.76333344,0.052611272842060956
734856,936,108762,30-34,F,27,5453,1,1.389999986,1,1,0.018338529249954154,1.389999986,0.2549055540069686,100.0,100.0,1.389999986,1.389999986,0.18338529249954152
734866,936,108764,30-34,F,29,11803,3,4.440000057,1,0,0.02541726679657714,1.480000019,0.37617555341862235,33.33333333333333,0.0,4.440000057,0.0,0.08472422265525714
734881,936,108766,30-34,F,31,4259,1,1.570000052,1,1,0.023479690068091103,1.570000052,0.3686311462784691,100.0,100.0,1.570000052,1.570000052,0.23479690068091102
734901,936,108770,30-34,F,64,1554,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435006435006435
734903,936,108770,30-34,F,64,5323,1,1.289999962,1,1,0.0187863986473793,1.289999962,0.24234453541236145,100.0,100.0,1.289999962,1.289999962,0.187863986473793
734925,936,108774,35-39,F,10,5024,1,1.409999967,1,1,0.019904458598726117,1.409999967,0.2806528596735669,100.0,100.0,1.409999967,1.409999967,0.19904458598726116
734939,936,108776,35-39,F,16,104648,24,33.33000004,4,2,0.022934026450577173,1.3887500016666667,0.31849629271462426,16.666666666666664,50.0,8.33250001,16.66500002,0.03822337741762862
734968,936,108781,35-39,F,22,8504,3,3.340000093,1,1,0.03527751646284102,1.1133333643333334,0.3927563608889934,33.33333333333333,100.0,3.340000093,3.340000093,0.1175917215428034
734999,936,108786,35-39,F,27,20277,6,8.050000072,1,0,0.029590176061547565,1.3416666786666667,0.3970015323765843,16.666666666666664,0.0,8.050000072,0.0,0.04931696010257927
735014,936,108788,35-39,F,29,12403,4,5.210000038,1,1,0.032250262033379024,1.3025000095,0.4200596660485367,25.0,100.0,5.210000038,5.210000038,0.08062565508344754
735032,936,108791,35-39,F,32,498,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.008032128514056
735033,936,108792,35-39,F,36,652,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735043,936,108793,35-39,F,63,1357,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.7369196757553427
735048,936,108794,35-39,F,64,1393,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7178750897343863
735065,936,108797,40-44,F,7,648,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5432098765432098
735109,936,108804,40-44,F,21,708,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.4124293785310735
735140,936,108809,40-44,F,26,6907,2,2.349999964,1,0,0.02895613146083683,1.174999982,0.34023453945272913,50.0,0.0,2.349999964,0.0,0.14478065730418416
735143,936,108810,40-44,F,27,39035,13,19.32999957,1,0,0.03330344562572051,1.4869230438461538,0.49519660740361204,7.6923076923076925,0.0,19.32999957,0.0,0.025618035096708083
735151,936,108811,40-44,F,28,926,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0799136069114472
735184,936,108817,40-44,F,63,4412,1,1.450000048,1,0,0.022665457842248413,1.450000048,0.32864914959202174,100.0,0.0,1.450000048,0.0,0.22665457842248413
735189,936,108818,40-44,F,64,9965,3,4.050000072,1,0,0.030105368790767684,1.3500000239999999,0.4064224859006522,33.33333333333333,0.0,4.050000072,0.0,0.10035122930255896
735213,936,108822,45-49,F,10,73634,23,32.97999978,1,0,0.03123557052448597,1.4339130339130435,0.44789091696770517,4.3478260869565215,0.0,32.97999978,0.0,0.01358068283673303
735220,936,108823,45-49,F,15,69708,20,31.28999949,1,0,0.02869111149365926,1.5644999745,0.4488724320020657,5.0,0.0,31.28999949,0.0,0.014345555746829632
735242,936,108826,45-49,F,19,530,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8867924528301887
735247,936,108827,45-49,F,20,14257,6,8.789999962,1,0,0.04208459002595216,1.4649999936666667,0.6165392412148417,16.666666666666664,0.0,8.789999962,0.0,0.07014098337658693
735289,936,108834,45-49,F,27,20362,5,9.119999886,1,1,0.02455554464198016,1.8239999772000002,0.44789312867105396,20.0,100.0,9.119999886,9.119999886,0.04911108928396032
735290,936,108834,45-49,F,27,12215,4,6.26000011,1,0,0.03274662300450266,1.5650000275,0.512484659025788,25.0,0.0,6.26000011,0.0,0.08186655751125665
735298,936,108836,45-49,F,29,85412,28,38.63999999,2,1,0.03278227883669742,1.3799999996428571,0.4523954478293448,7.142857142857142,50.0,19.319999995,38.63999999,0.02341591345478387
736869,936,109448,30-34,M,2,2338,1,0.239999995,1,0,0.0427715996578272,0.239999995,0.1026518370402053,100.0,0.0,0.239999995,0.0,0.42771599657827203
736890,936,109451,30-34,M,15,2522,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3965107057890563
736893,936,109452,30-34,M,16,3587,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2787844995818233
736977,936,109470,30-34,M,27,1273,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7855459544383347
736988,936,109472,30-34,M,28,3891,1,1.090000033,1,0,0.02570033410434336,1.090000033,0.2801336502184528,100.0,0.0,1.090000033,0.0,0.2570033410434336
736995,936,109473,30-34,M,29,1888,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5296610169491526
736997,936,109473,30-34,M,29,1895,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277044854881267
737097,936,109498,35-39,M,7,715,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3986013986013985
737130,936,109507,35-39,M,16,11199,2,2.680000067,1,0,0.017858737387266718,1.3400000335,0.23930708697205108,50.0,0.0,2.680000067,0.0,0.08929368693633359
737320,936,109553,35-39,M,63,5676,2,3.00999999,1,0,0.035236081747709654,1.504999995,0.5303030285412262,50.0,0.0,3.00999999,0.0,0.1761804087385483
737375,936,109565,40-44,M,10,1415,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7067137809187278
737524,936,109601,40-44,M,30,2148,1,1.580000043,1,1,0.04655493482309125,1.580000043,0.7355679902234636,100.0,100.0,1.580000043,1.580000043,0.4655493482309125
737644,936,109629,45-49,M,16,45401,10,14.06000042,1,0,0.022025946565053633,1.406000042,0.3096848179555516,10.0,0.0,14.06000042,0.0,0.022025946565053633
737657,936,109633,45-49,M,18,7478,2,2.900000095,1,1,0.02674511901577962,1.4500000475,0.3878042384327361,50.0,100.0,2.900000095,2.900000095,0.13372559507889809
737658,936,109633,45-49,M,18,4919,1,1.590000033,1,0,0.020329335230737954,1.590000033,0.3232364368774141,100.0,0.0,1.590000033,0.0,0.20329335230737955
737674,936,109637,45-49,M,20,533,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.876172607879925
737766,936,109659,45-49,M,29,1447,0,0.0,1,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.691085003455425
